VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	198.17
1.01	197.474
1.02	196.732
1.03	195.944
1.04	195.111
1.05	194.236
1.06	193.319
1.07	192.362
1.08	191.366
1.09	190.333
1.1	189.264
1.11	188.161
1.12	187.024
1.13	185.857
1.14	184.659
1.15	183.433
1.16	182.18
1.17	180.901
1.18	179.597
1.19	178.271
1.2	176.923
1.21	175.555
1.22	174.168
1.23	172.763
1.24	171.342
1.25	169.906
1.26	168.456
1.27	166.994
1.28	165.52
1.29	164.035
1.3	162.541
1.31	161.039
1.32	159.53
1.33	158.015
1.34	156.494
1.35	154.969
1.36	153.441
1.37	151.911
1.38	150.378
1.39	148.845
1.4	147.312
1.41	145.779
1.42	144.248
1.43	142.719
1.44	141.193
1.45	139.669
1.46	138.15
1.47	136.635
1.48	135.125
1.49	133.621
1.5	132.122
1.51	130.63
1.52	129.144
1.53	127.665
1.54	126.194
1.55	124.73
1.56	123.275
1.57	121.827
1.58	120.388
1.59	118.958
1.6	117.536
1.61	116.124
1.62	114.72
1.63	113.325
1.64	111.939
1.65	110.563
1.66	109.195
1.67	107.836
1.68	106.486
1.69	105.144
1.7	103.81
1.71	102.484
1.72	101.165
1.73	99.853
1.74	98.5467
1.75	97.2454
1.76	95.9481
1.77	94.6535
1.78	93.3598
1.79	92.0652
1.8	90.7671
1.81	89.4623
1.82	88.1471
1.83	86.8164
1.84	85.4637
1.85	84.0807
1.86	82.6566
1.87	81.1768
1.88	79.622
1.89	77.9661
1.9	76.1739
1.91	74.1982
1.92	71.9776
1.93	69.4369
1.94	66.4996
1.95	63.1308
1.96	59.4393
1.97	55.8442
1.98	53.1503
1.99	52.1779
2	53.0271
2.01	54.9412
2.02	57.0088
2.03	58.7044
2.04	59.8834
2.05	60.5892
2.06	60.9188
2.07	60.9665
2.08	60.8077
2.09	60.4987
2.1	60.0802
2.11	59.5819
2.12	59.0251
2.13	58.4253
2.14	57.7939
2.15	57.1395
2.16	56.4685
2.17	55.7856
2.18	55.0947
2.19	54.3985
2.2	53.6994
2.21	52.999
2.22	52.2988
2.23	51.5998
2.24	50.9029
2.25	50.2088
2.26	49.5181
2.27	48.831
2.28	48.1481
2.29	47.4696
2.3	46.7957
2.31	46.1265
2.32	45.4621
2.33	44.8027
2.34	44.1483
2.35	43.499
2.36	42.8547
2.37	42.2155
2.38	41.5813
2.39	40.9522
2.4	40.3281
2.41	39.7089
2.42	39.0946
2.43	38.4851
2.44	37.8804
2.45	37.2805
2.46	36.6852
2.47	36.0945
2.48	35.5083
2.49	34.9266
2.5	34.3492
2.51	33.7761
2.52	33.2073
2.53	32.6426
2.54	32.0819
2.55	31.5253
2.56	30.9726
2.57	30.4237
2.58	29.8786
2.59	29.3371
2.6	28.7993
2.61	28.2651
2.62	27.7344
2.63	27.207
2.64	26.6831
2.65	26.1624
2.66	25.6449
2.67	25.1307
2.68	24.6196
2.69	24.1115
2.7	23.6065
2.71	23.1044
2.72	22.6053
2.73	22.1091
2.74	21.6157
2.75	21.1252
2.76	20.6376
2.77	20.1527
2.78	19.6706
2.79	19.1912
2.8	18.7147
2.81	18.2409
2.82	17.77
2.83	17.3018
2.84	16.8365
2.85	16.374
2.86	15.9145
2.87	15.458
2.88	15.0044
2.89	14.554
2.9	14.1068
2.91	13.6629
2.92	13.2224
2.93	12.7855
2.94	12.3522
2.95	11.9227
2.96	11.4971
2.97	11.0758
2.98	10.6588
2.99	10.2463
3	9.83872
3.01	9.43615
3.02	9.03891
3.03	8.64728
3.04	8.26158
3.05	7.88214
3.06	7.5093
3.07	7.14344
3.08	6.78495
3.09	6.43424
3.1	6.09174
3.11	5.75791
3.12	5.43323
3.13	5.11817
3.14	4.81325
3.15	4.51901
3.16	4.23597
3.17	3.96472
3.18	3.70584
3.19	3.45995
3.2	3.22771
3.21	3.00982
3.22	2.80709
3.23	2.62041
3.24	2.45087
3.25	2.29976
3.26	2.16867
3.27	2.05958
3.28	1.97475
3.29	1.91665
3.3	1.88748
3.31	1.88874
3.32	1.92071
3.33	1.98248
3.34	2.07228
3.35	2.18799
3.36	2.32752
3.37	2.489
3.38	2.67075
3.39	2.87124
3.4	3.08901
3.41	3.32257
3.42	3.57034
3.43	3.83061
3.44	4.10152
3.45	4.38102
3.46	4.66688
3.47	4.95671
3.48	5.24795
3.49	5.53791
3.5	5.82379
3.51	6.10273
3.52	6.37181
3.53	6.62813
3.54	6.86884
3.55	7.09119
3.56	7.29255
3.57	7.47048
3.58	7.62279
3.59	7.74751
3.6	7.843
3.61	7.90794
3.62	7.94135
3.63	7.94264
3.64	7.9116
3.65	7.84838
3.66	7.75355
3.67	7.62804
3.68	7.47314
3.69	7.29049
3.7	7.08205
3.71	6.85003
3.72	6.59692
3.73	6.32542
3.74	6.03837
3.75	5.73875
3.76	5.4296
3.77	5.11401
3.78	4.79502
3.79	4.47562
3.8	4.1587
3.81	3.84697
3.82	3.54296
3.83	3.24898
3.84	2.96705
3.85	2.69893
3.86	2.44606
3.87	2.2096
3.88	1.99039
3.89	1.78909
3.9	1.60625
3.91	1.44273
3.92	1.30095
3.93	1.18972
3.94	1.14209
3.95	1.19412
3.96	1.30519
3.97	1.44372
3.98	1.60121
3.99	1.77508
4	1.96423
