VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	165.809
1.01	163.623
1.02	161.435
1.03	159.249
1.04	157.065
1.05	154.885
1.06	152.712
1.07	150.547
1.08	148.391
1.09	146.245
1.1	144.111
1.11	141.99
1.12	139.883
1.13	137.79
1.14	135.714
1.15	133.654
1.16	131.612
1.17	129.587
1.18	127.581
1.19	125.595
1.2	123.627
1.21	121.68
1.22	119.753
1.23	117.847
1.24	115.962
1.25	114.098
1.26	112.255
1.27	110.433
1.28	108.632
1.29	106.853
1.3	105.096
1.31	103.359
1.32	101.644
1.33	99.9493
1.34	98.2758
1.35	96.6228
1.36	94.9903
1.37	93.3778
1.38	91.7851
1.39	90.2118
1.4	88.6576
1.41	87.122
1.42	85.6044
1.43	84.1045
1.44	82.6216
1.45	81.1551
1.46	79.7043
1.47	78.2683
1.48	76.8462
1.49	75.4371
1.5	74.0397
1.51	72.6527
1.52	71.2746
1.53	69.9034
1.54	68.5369
1.55	67.1724
1.56	65.8067
1.57	64.4357
1.58	63.0542
1.59	61.6559
1.6	60.2322
1.61	58.7722
1.62	57.2615
1.63	55.6808
1.64	54.004
1.65	52.1959
1.66	50.2098
1.67	47.9857
1.68	45.4542
1.69	42.5572
1.7	39.3092
1.71	35.9296
1.72	33.0002
1.73	31.3681
1.74	31.5081
1.75	32.9727
1.76	34.8287
1.77	36.4079
1.78	37.4811
1.79	38.0699
1.8	38.2739
1.81	38.1941
1.82	37.9108
1.83	37.4825
1.84	36.951
1.85	36.3455
1.86	35.6868
1.87	34.9896
1.88	34.2645
1.89	33.5192
1.9	32.7595
1.91	31.9896
1.92	31.2126
1.93	30.4311
1.94	29.6468
1.95	28.8612
1.96	28.0755
1.97	27.2904
1.98	26.5068
1.99	25.7253
2	24.9462
2.01	24.1701
2.02	23.3972
2.03	22.628
2.04	21.8627
2.05	21.1016
2.06	20.3451
2.07	19.5934
2.08	18.8468
2.09	18.1058
2.1	17.3706
2.11	16.6417
2.12	15.9195
2.13	15.2045
2.14	14.4972
2.15	13.7982
2.16	13.1082
2.17	12.4278
2.18	11.7578
2.19	11.099
2.2	10.4522
2.21	9.81842
2.22	9.19865
2.23	8.59394
2.24	8.00541
2.25	7.43426
2.26	6.88172
2.27	6.34906
2.28	5.83762
2.29	5.34874
2.3	4.8838
2.31	4.44419
2.32	4.03132
2.33	3.6466
2.34	3.29153
2.35	2.96769
2.36	2.67692
2.37	2.42156
2.38	2.20477
2.39	2.03106
2.4	1.90661
2.41	1.83875
2.42	1.83349
2.43	1.89234
2.44	2.01171
2.45	2.18571
2.46	2.40891
2.47	2.67741
2.48	2.98857
2.49	3.34052
2.5	3.7317
2.51	4.16055
2.52	4.62538
2.53	5.12424
2.54	5.6549
2.55	6.21485
2.56	6.8013
2.57	7.41123
2.58	8.04141
2.59	8.68846
2.6	9.3489
2.61	10.0192
2.62	10.6957
2.63	11.375
2.64	12.0535
2.65	12.728
2.66	13.3951
2.67	14.0518
2.68	14.6953
2.69	15.3228
2.7	15.932
2.71	16.5205
2.72	17.0864
2.73	17.6278
2.74	18.1432
2.75	18.631
2.76	19.0902
2.77	19.5195
2.78	19.9181
2.79	20.2851
2.8	20.6198
2.81	20.9216
2.82	21.1896
2.83	21.4232
2.84	21.6217
2.85	21.784
2.86	21.9092
2.87	21.9956
2.88	22.0415
2.89	22.0444
2.9	22.0012
2.91	21.9075
2.92	21.7577
2.93	21.5445
2.94	21.2581
2.95	20.8865
2.96	20.4146
2.97	19.8267
2.98	19.1103
2.99	18.2677
3	17.3378
3.01	16.424
3.02	15.7019
3.03	15.3551
3.04	15.448
3.05	15.8637
3.06	16.3956
3.07	16.8752
3.08	17.219
3.09	17.4078
3.1	17.4533
3.11	17.3775
3.12	17.2018
3.13	16.9445
3.14	16.6201
3.15	16.2396
3.16	15.8119
3.17	15.3435
3.18	14.8401
3.19	14.306
3.2	13.7452
3.21	13.1611
3.22	12.5572
3.23	11.9366
3.24	11.3025
3.25	10.6582
3.26	10.0071
3.27	9.35275
3.28	8.69891
3.29	8.04944
3.3	7.40834
3.31	6.77971
3.32	6.16769
3.33	5.5764
3.34	5.00983
3.35	4.47177
3.36	3.96569
3.37	3.49466
3.38	3.06124
3.39	2.66745
3.4	2.31478
3.41	2.00445
3.42	1.73812
3.43	1.52005
3.44	1.36334
3.45	1.30091
3.46	1.35933
3.47	1.508
3.48	1.71123
3.49	1.95367
3.5	2.22893
3.51	2.53342
3.52	2.86424
3.53	3.21857
3.54	3.59348
3.55	3.98593
3.56	4.39279
3.57	4.81093
3.58	5.23727
3.59	5.66881
3.6	6.10273
3.61	6.53636
3.62	6.96724
3.63	7.39313
3.64	7.812
3.65	8.22202
3.66	8.6216
3.67	9.00931
3.68	9.38395
3.69	9.74445
3.7	10.0899
3.71	10.4196
3.72	10.7329
3.73	11.0292
3.74	11.3081
3.75	11.5694
3.76	11.8127
3.77	12.0378
3.78	12.2445
3.79	12.4328
3.8	12.6025
3.81	12.7536
3.82	12.886
3.83	12.9998
3.84	13.0948
3.85	13.171
3.86	13.2285
3.87	13.2673
3.88	13.2873
3.89	13.2886
3.9	13.2712
3.91	13.235
3.92	13.18
3.93	13.1064
3.94	13.0142
3.95	12.9033
3.96	12.7739
3.97	12.6261
3.98	12.46
3.99	12.2758
4	12.0737
