DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-11.596
-88	-11.3805
-86	-10.7924
-84	-9.96275
-82	-9.01987
-80	-8.05228
-78	-7.10949
-76	-6.2149
-74	-5.37724
-72	-4.59771
-70	-3.87398
-68	-3.20227
-66	-2.57836
-64	-1.99812
-62	-1.45771
-60	-0.953665
-58	-0.482888
-56	-0.0426518
-54	0.369444
-52	0.755508
-50	1.11739
-48	1.45673
-46	1.77496
-44	2.07334
-42	2.35299
-40	2.6149
-38	2.85995
-36	3.08892
-34	3.30249
-32	3.50128
-30	3.68584
-28	3.85665
-26	4.01415
-24	4.15871
-22	4.29067
-20	4.41034
-18	4.51798
-16	4.61382
-14	4.69806
-12	4.77087
-10	4.8324
-8	4.88277
-6	4.92209
-4	4.95043
-2	4.96784
0	4.97438
2	4.97005
4	4.95485
6	4.92875
8	4.89173
10	4.8437
12	4.7846
14	4.71431
16	4.63271
18	4.53965
20	4.43494
22	4.31838
24	4.18974
26	4.04875
28	3.89511
30	3.72847
32	3.54846
34	3.35465
36	3.14654
38	2.92362
40	2.68528
42	2.43084
44	2.15957
46	1.87064
48	1.5631
50	1.23594
52	0.888012
54	0.518038
56	0.124621
58	-0.293779
60	-0.738833
62	-1.21233
64	-1.71615
66	-2.25216
68	-2.8221
70	-3.42735
72	-4.06845
74	-4.74445
76	-5.45166
78	-6.18187
80	-6.91954
82	-7.63818
84	-8.29686
86	-8.83949
88	-9.20193
90	-9.32997
