VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	182.545
1.01	180.278
1.02	178
1.03	175.713
1.04	173.42
1.05	171.122
1.06	168.822
1.07	166.522
1.08	164.223
1.09	161.927
1.1	159.636
1.11	157.351
1.12	155.074
1.13	152.806
1.14	150.549
1.15	148.302
1.16	146.069
1.17	143.849
1.18	141.644
1.19	139.454
1.2	137.28
1.21	135.123
1.22	132.984
1.23	130.863
1.24	128.761
1.25	126.677
1.26	124.614
1.27	122.57
1.28	120.547
1.29	118.544
1.3	116.562
1.31	114.601
1.32	112.661
1.33	110.742
1.34	108.845
1.35	106.969
1.36	105.114
1.37	103.281
1.38	101.469
1.39	99.6789
1.4	97.9097
1.41	96.1617
1.42	94.4346
1.43	92.7285
1.44	91.0431
1.45	89.3782
1.46	87.7336
1.47	86.1093
1.48	84.5048
1.49	82.9201
1.5	81.3549
1.51	79.8089
1.52	78.2819
1.53	76.7736
1.54	75.2838
1.55	73.8122
1.56	72.3586
1.57	70.9226
1.58	69.5039
1.59	68.1024
1.6	66.7176
1.61	65.3494
1.62	63.9974
1.63	62.6614
1.64	61.341
1.65	60.036
1.66	58.7461
1.67	57.4709
1.68	56.2104
1.69	54.964
1.7	53.7317
1.71	52.513
1.72	51.3078
1.73	50.1158
1.74	48.9367
1.75	47.7703
1.76	46.6163
1.77	45.4745
1.78	44.3447
1.79	43.2267
1.8	42.1203
1.81	41.0252
1.82	39.9413
1.83	38.8683
1.84	37.8062
1.85	36.7548
1.86	35.7139
1.87	34.6834
1.88	33.6632
1.89	32.6533
1.9	31.6535
1.91	30.6637
1.92	29.684
1.93	28.7144
1.94	27.7547
1.95	26.8052
1.96	25.8658
1.97	24.9366
1.98	24.0177
1.99	23.1093
2	22.2115
2.01	21.3246
2.02	20.4488
2.03	19.5844
2.04	18.7317
2.05	17.8911
2.06	17.0629
2.07	16.2477
2.08	15.4459
2.09	14.658
2.1	13.8847
2.11	13.1266
2.12	12.3844
2.13	11.6588
2.14	10.9507
2.15	10.2608
2.16	9.59014
2.17	8.93955
2.18	8.31006
2.19	7.70269
2.2	7.1185
2.21	6.55858
2.22	6.02405
2.23	5.51604
2.24	5.0357
2.25	4.5842
2.26	4.16273
2.27	3.77251
2.28	3.41485
2.29	3.09123
2.3	2.80341
2.31	2.55365
2.32	2.345
2.33	2.18156
2.34	2.06847
2.35	2.01118
2.36	2.01368
2.37	2.0768
2.38	2.19812
2.39	2.37358
2.4	2.59922
2.41	2.87199
2.42	3.18972
2.43	3.55088
2.44	3.95426
2.45	4.39869
2.46	4.88292
2.47	5.40551
2.48	5.96479
2.49	6.55881
2.5	7.18537
2.51	7.84202
2.52	8.52605
2.53	9.23459
2.54	9.96455
2.55	10.7127
2.56	11.4758
2.57	12.2505
2.58	13.0333
2.59	13.8208
2.6	14.6097
2.61	15.3968
2.62	16.1789
2.63	16.953
2.64	17.7161
2.65	18.4657
2.66	19.1992
2.67	19.9143
2.68	20.609
2.69	21.2814
2.7	21.9298
2.71	22.5529
2.72	23.1495
2.73	23.7185
2.74	24.2592
2.75	24.771
2.76	25.2533
2.77	25.706
2.78	26.1289
2.79	26.522
2.8	26.8854
2.81	27.2194
2.82	27.5243
2.83	27.8005
2.84	28.0485
2.85	28.2689
2.86	28.4621
2.87	28.6289
2.88	28.7698
2.89	28.8855
2.9	28.9768
2.91	29.0442
2.92	29.0884
2.93	29.1101
2.94	29.11
2.95	29.0887
2.96	29.0468
2.97	28.9849
2.98	28.9035
2.99	28.8032
3	28.6845
3.01	28.5479
3.02	28.3938
3.03	28.2226
3.04	28.0346
3.05	27.8303
3.06	27.61
3.07	27.3738
3.08	27.1221
3.09	26.855
3.1	26.5727
3.11	26.2753
3.12	25.9629
3.13	25.6357
3.14	25.2936
3.15	24.9367
3.16	24.565
3.17	24.1785
3.18	23.7772
3.19	23.3609
3.2	22.9296
3.21	22.4833
3.22	22.022
3.23	21.5454
3.24	21.0537
3.25	20.5468
3.26	20.0247
3.27	19.4875
3.28	18.9352
3.29	18.3681
3.3	17.7863
3.31	17.1903
3.32	16.5805
3.33	15.9575
3.34	15.3221
3.35	14.675
3.36	14.0174
3.37	13.3507
3.38	12.6763
3.39	11.9959
3.4	11.3116
3.41	10.6257
3.42	9.94069
3.43	9.25939
3.44	8.58487
3.45	7.92045
3.46	7.26962
3.47	6.63606
3.48	6.02352
3.49	5.43582
3.5	4.87668
3.51	4.34972
3.52	3.8583
3.53	3.4055
3.54	2.9941
3.55	2.62663
3.56	2.30571
3.57	2.0347
3.58	1.8191
3.59	1.66849
3.6	1.59662
3.61	1.61326
3.62	1.71278
3.63	1.87877
3.64	2.0963
3.65	2.35542
3.66	2.64956
3.67	2.97382
3.68	3.32393
3.69	3.69588
3.7	4.08574
3.71	4.4896
3.72	4.90366
3.73	5.32424
3.74	5.74784
3.75	6.1712
3.76	6.59128
3.77	7.00536
3.78	7.41097
3.79	7.80597
3.8	8.18848
3.81	8.55689
3.82	8.90988
3.83	9.24632
3.84	9.56533
3.85	9.86623
3.86	10.1485
3.87	10.4117
3.88	10.6557
3.89	10.8804
3.9	11.0857
3.91	11.2716
3.92	11.4383
3.93	11.586
3.94	11.7149
3.95	11.8252
3.96	11.9172
3.97	11.9912
3.98	12.0475
3.99	12.0864
4	12.1082
