DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-13.386
-88	-13.0593
-86	-12.2061
-84	-11.0786
-82	-9.87697
-80	-8.70755
-78	-7.61357
-76	-6.60675
-74	-5.68535
-72	-4.84266
-70	-4.07069
-68	-3.36166
-66	-2.70858
-64	-2.10531
-62	-1.54657
-60	-1.02786
-58	-0.54529
-56	-0.0955639
-54	0.324171
-52	0.716369
-50	1.08315
-48	1.42637
-46	1.74762
-44	2.04832
-42	2.32969
-40	2.59283
-38	2.83868
-36	3.06809
-34	3.28182
-32	3.48051
-30	3.66477
-28	3.8351
-26	3.99198
-24	4.13581
-22	4.26696
-20	4.38573
-18	4.49242
-16	4.58727
-14	4.67049
-12	4.74226
-10	4.80274
-8	4.85205
-6	4.8903
-4	4.91757
-2	4.9339
0	4.93935
2	4.9339
4	4.91757
6	4.8903
8	4.85205
10	4.80274
12	4.74226
14	4.67049
16	4.58727
18	4.49242
20	4.38573
22	4.26695
24	4.13581
26	3.99198
28	3.8351
30	3.66477
32	3.48051
34	3.28181
36	3.06809
38	2.83867
40	2.59282
42	2.32968
44	2.04831
46	1.74761
48	1.42636
50	1.08314
52	0.716351
54	0.324151
56	-0.0955876
58	-0.545318
60	-1.02789
62	-1.54661
64	-2.10535
66	-2.70863
68	-3.36173
70	-4.07077
72	-4.84276
74	-5.68548
76	-6.60691
78	-7.61377
80	-8.70782
82	-9.87732
84	-11.0791
86	-12.2067
88	-13.0601
90	-13.3868
