VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	153.372
1.01	150.736
1.02	148.133
1.03	145.565
1.04	143.032
1.05	140.533
1.06	138.069
1.07	135.641
1.08	133.247
1.09	130.888
1.1	128.564
1.11	126.273
1.12	124.016
1.13	121.792
1.14	119.599
1.15	117.437
1.16	115.303
1.17	113.196
1.18	111.113
1.19	109.05
1.2	107.003
1.21	104.965
1.22	102.927
1.23	100.875
1.24	98.7896
1.25	96.6395
1.26	94.3753
1.27	91.9179
1.28	89.1422
1.29	85.8756
1.3	82.0038
1.31	77.9516
1.32	75.3153
1.33	75.2849
1.34	76.4694
1.35	77.28
1.36	77.3845
1.37	76.9595
1.38	76.2046
1.39	75.2538
1.4	74.1879
1.41	73.0554
1.42	71.8854
1.43	70.6962
1.44	69.4993
1.45	68.3022
1.46	67.1098
1.47	65.9253
1.48	64.7511
1.49	63.5884
1.5	62.4383
1.51	61.3014
1.52	60.1779
1.53	59.0681
1.54	57.9719
1.55	56.8892
1.56	55.8199
1.57	54.7637
1.58	53.7204
1.59	52.6897
1.6	51.6713
1.61	50.6648
1.62	49.6699
1.63	48.6862
1.64	47.7134
1.65	46.751
1.66	45.7987
1.67	44.8562
1.68	43.923
1.69	42.9988
1.7	42.0831
1.71	41.1757
1.72	40.2761
1.73	39.3839
1.74	38.4989
1.75	37.6206
1.76	36.7487
1.77	35.8828
1.78	35.0226
1.79	34.1677
1.8	33.3179
1.81	32.4727
1.82	31.6319
1.83	30.7952
1.84	29.9623
1.85	29.1328
1.86	28.3066
1.87	27.4834
1.88	26.663
1.89	25.8452
1.9	25.0297
1.91	24.2165
1.92	23.4054
1.93	22.5964
1.94	21.7893
1.95	20.9843
1.96	20.1813
1.97	19.3805
1.98	18.582
1.99	17.786
2	16.993
2.01	16.2032
2.02	15.4173
2.03	14.6357
2.04	13.8593
2.05	13.0888
2.06	12.3253
2.07	11.57
2.08	10.824
2.09	10.0889
2.1	9.36632
2.11	8.65811
2.12	7.96629
2.13	7.29307
2.14	6.64082
2.15	6.01209
2.16	5.40957
2.17	4.83603
2.18	4.29428
2.19	3.78712
2.2	3.31729
2.21	2.88736
2.22	2.49984
2.23	2.15738
2.24	1.86357
2.25	1.62536
2.26	1.45926
2.27	1.39846
2.28	1.46612
2.29	1.63719
2.3	1.87887
2.31	2.17433
2.32	2.51496
2.33	2.89414
2.34	3.30493
2.35	3.73914
2.36	4.18725
2.37	4.63853
2.38	5.08134
2.39	5.50354
2.4	5.893
2.41	6.23806
2.42	6.52801
2.43	6.7536
2.44	6.90737
2.45	6.98405
2.46	6.98069
2.47	6.8969
2.48	6.73478
2.49	6.4989
2.5	6.19609
2.51	5.83521
2.52	5.42678
2.53	4.98258
2.54	4.51518
2.55	4.03743
2.56	3.56195
2.57	3.10053
2.58	2.66363
2.59	2.25988
2.6	1.89566
2.61	1.57484
2.62	1.2987
2.63	1.06616
2.64	1.14434
2.65	1.39339
2.66	1.68861
2.67	2.03193
2.68	2.42417
2.69	2.86478
2.7	3.35118
2.71	3.87884
2.72	4.44215
2.73	5.03501
2.74	5.65119
2.75	6.28451
2.76	6.929
2.77	7.57903
2.78	8.22938
2.79	8.87533
2.8	9.51267
2.81	10.1377
2.82	10.7473
2.83	11.3388
2.84	11.91
2.85	12.4591
2.86	12.9847
2.87	13.4858
2.88	13.9616
2.89	14.4115
2.9	14.8354
2.91	15.233
2.92	15.6045
2.93	15.95
2.94	16.2698
2.95	16.5642
2.96	16.8336
2.97	17.0785
2.98	17.2993
2.99	17.4964
3	17.6704
3.01	17.8216
3.02	17.9506
3.03	18.0578
3.04	18.1435
3.05	18.2081
3.06	18.252
3.07	18.2754
3.08	18.2787
3.09	18.2619
3.1	18.2255
3.11	18.1694
3.12	18.0938
3.13	17.9988
3.14	17.8844
3.15	17.7508
3.16	17.5978
3.17	17.4256
3.18	17.234
3.19	17.0229
3.2	16.7925
3.21	16.5427
3.22	16.2733
3.23	15.9845
3.24	15.6763
3.25	15.3487
3.26	15.0019
3.27	14.6362
3.28	14.2518
3.29	13.8491
3.3	13.4288
3.31	12.9914
3.32	12.5377
3.33	12.0689
3.34	11.5861
3.35	11.0907
3.36	10.5844
3.37	10.0689
3.38	9.54636
3.39	9.01911
3.4	8.48967
3.41	7.96076
3.42	7.43533
3.43	6.91642
3.44	6.40725
3.45	5.91104
3.46	5.43107
3.47	4.97055
3.48	4.53259
3.49	4.12016
3.5	3.73602
3.51	3.38276
3.52	3.06279
3.53	2.77846
3.54	2.53221
3.55	2.32676
3.56	2.16532
3.57	2.05151
3.58	1.98862
3.59	1.9783
3.6	2.01927
3.61	2.10731
3.62	2.23666
3.63	2.40143
3.64	2.59638
3.65	2.81709
3.66	3.05979
3.67	3.32117
3.68	3.59823
3.69	3.88818
3.7	4.18843
3.71	4.49649
3.72	4.81002
3.73	5.12682
3.74	5.44479
3.75	5.76198
3.76	6.07656
3.77	6.38681
3.78	6.6911
3.79	6.98792
3.8	7.27579
3.81	7.55331
3.82	7.81906
3.83	8.07161
3.84	8.3095
3.85	8.53123
3.86	8.73532
3.87	8.92051
3.88	9.08618
3.89	9.23308
3.9	9.36419
3.91	9.48525
3.92	9.60374
3.93	9.72593
3.94	9.85355
3.95	9.98297
3.96	10.1076
3.97	10.2209
3.98	10.3182
3.99	10.397
4	10.4561
