DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-14.459
-88	-14.044
-86	-12.9956
-84	-11.6716
-82	-10.3162
-80	-9.03634
-78	-7.86458
-76	-6.80252
-74	-5.84118
-72	-4.96901
-70	-4.17486
-68	-3.44883
-66	-2.78251
-64	-2.16878
-62	-1.60169
-60	-1.07623
-58	-0.588174
-56	-0.133942
-54	0.28951
-52	0.684789
-50	1.05413
-48	1.39949
-46	1.72252
-44	2.02471
-42	2.30733
-40	2.57151
-38	2.81823
-36	3.04838
-34	3.26271
-32	3.46191
-30	3.64658
-28	3.81727
-26	3.97445
-24	4.11853
-22	4.24989
-20	4.36886
-18	4.47573
-16	4.57074
-14	4.65412
-12	4.72606
-10	4.78671
-8	4.8362
-6	4.87465
-4	4.90214
-2	4.91873
0	4.92445
2	4.91932
4	4.90333
6	4.87645
8	4.83863
10	4.7898
12	4.72985
14	4.65866
16	4.57608
18	4.48193
20	4.376
22	4.25806
24	4.12783
26	3.985
28	3.8292
30	3.66005
32	3.47709
34	3.27981
36	3.06764
38	2.83993
40	2.59595
42	2.33489
44	2.05583
46	1.75771
48	1.43935
50	1.0994
52	0.736333
54	0.348397
56	-0.0664106
58	-0.510389
60	-0.986178
62	-1.49682
64	-2.04582
66	-2.63719
68	-3.27552
70	-3.96597
72	-4.71417
74	-5.5259
76	-6.40623
78	-7.35772
80	-8.37632
82	-9.44334
84	-10.5105
86	-11.4786
88	-12.1857
90	-12.4499
