VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	193.832
1.01	191.738
1.02	189.621
1.03	187.483
1.04	185.327
1.05	183.155
1.06	180.969
1.07	178.771
1.08	176.564
1.09	174.349
1.1	172.129
1.11	169.905
1.12	167.679
1.13	165.452
1.14	163.227
1.15	161.004
1.16	158.786
1.17	156.573
1.18	154.367
1.19	152.168
1.2	149.979
1.21	147.8
1.22	145.632
1.23	143.475
1.24	141.332
1.25	139.202
1.26	137.086
1.27	134.986
1.28	132.901
1.29	130.832
1.3	128.78
1.31	126.744
1.32	124.727
1.33	122.727
1.34	120.745
1.35	118.782
1.36	116.838
1.37	114.912
1.38	113.006
1.39	111.118
1.4	109.25
1.41	107.402
1.42	105.573
1.43	103.763
1.44	101.973
1.45	100.202
1.46	98.4505
1.47	96.7184
1.48	95.0054
1.49	93.3115
1.5	91.6366
1.51	89.9804
1.52	88.3428
1.53	86.7236
1.54	85.1226
1.55	83.5396
1.56	81.9743
1.57	80.4263
1.58	78.8955
1.59	77.3815
1.6	75.884
1.61	74.4025
1.62	72.9368
1.63	71.4862
1.64	70.0503
1.65	68.6285
1.66	67.2203
1.67	65.8247
1.68	64.4411
1.69	63.0683
1.7	61.7051
1.71	60.35
1.72	59.0011
1.73	57.6561
1.74	56.3118
1.75	54.9642
1.76	53.608
1.77	52.2359
1.78	50.8383
1.79	49.402
1.8	47.9101
1.81	46.3423
1.82	44.6802
1.83	42.9239
1.84	41.1305
1.85	39.4638
1.86	38.1745
1.87	37.4081
1.88	37.0299
1.89	36.7606
1.9	36.408
1.91	35.913
1.92	35.2873
1.93	34.5623
1.94	33.7675
1.95	32.9258
1.96	32.0536
1.97	31.1624
1.98	30.2601
1.99	29.3524
2	28.4432
2.01	27.5354
2.02	26.6312
2.03	25.7321
2.04	24.8394
2.05	23.9541
2.06	23.077
2.07	22.2087
2.08	21.3498
2.09	20.5009
2.1	19.6625
2.11	18.835
2.12	18.0189
2.13	17.2147
2.14	16.4228
2.15	15.6439
2.16	14.8783
2.17	14.1267
2.18	13.3896
2.19	12.6677
2.2	11.9616
2.21	11.2719
2.22	10.5994
2.23	9.94482
2.24	9.30897
2.25	8.69267
2.26	8.09676
2.27	7.52212
2.28	6.96965
2.29	6.44029
2.3	5.93497
2.31	5.45467
2.32	5.00037
2.33	4.57305
2.34	4.17374
2.35	3.80351
2.36	3.46352
2.37	3.15506
2.38	2.8797
2.39	2.63938
2.4	2.43666
2.41	2.27487
2.42	2.1581
2.43	2.09075
2.44	2.07642
2.45	2.11666
2.46	2.21052
2.47	2.35527
2.48	2.54771
2.49	2.78505
2.5	3.06519
2.51	3.38659
2.52	3.74812
2.53	4.14878
2.54	4.58761
2.55	5.06353
2.56	5.5753
2.57	6.12146
2.58	6.70035
2.59	7.31006
2.6	7.94845
2.61	8.61319
2.62	9.30175
2.63	10.0114
2.64	10.7394
2.65	11.4827
2.66	12.2383
2.67	13.0031
2.68	13.774
2.69	14.548
2.7	15.3218
2.71	16.0926
2.72	16.8574
2.73	17.6134
2.74	18.3579
2.75	19.0884
2.76	19.8026
2.77	20.4982
2.78	21.1733
2.79	21.826
2.8	22.4546
2.81	23.0578
2.82	23.6343
2.83	24.1829
2.84	24.7028
2.85	25.1932
2.86	25.6534
2.87	26.083
2.88	26.4817
2.89	26.8491
2.9	27.1851
2.91	27.4894
2.92	27.7622
2.93	28.0031
2.94	28.2123
2.95	28.3893
2.96	28.5341
2.97	28.6462
2.98	28.7249
2.99	28.7692
3	28.7776
3.01	28.7482
3.02	28.6779
3.03	28.5626
3.04	28.3965
3.05	28.1716
3.06	27.8771
3.07	27.4987
3.08	27.0186
3.09	26.4189
3.1	25.6903
3.11	24.8557
3.12	24.0082
3.13	23.3343
3.14	23.0418
3.15	23.1893
3.16	23.6206
3.17	24.1097
3.18	24.5084
3.19	24.7654
3.2	24.8838
3.21	24.8856
3.22	24.7941
3.23	24.629
3.24	24.4053
3.25	24.1341
3.26	23.8235
3.27	23.4792
3.28	23.1057
3.29	22.7062
3.3	22.2829
3.31	21.8379
3.32	21.3723
3.33	20.8875
3.34	20.3843
3.35	19.8635
3.36	19.3257
3.37	18.7717
3.38	18.2019
3.39	17.6171
3.4	17.0179
3.41	16.4051
3.42	15.7796
3.43	15.1422
3.44	14.4941
3.45	13.8365
3.46	13.1709
3.47	12.4989
3.48	11.8222
3.49	11.143
3.5	10.4635
3.51	9.78626
3.52	9.11397
3.53	8.44961
3.54	7.79632
3.55	7.15742
3.56	6.53636
3.57	5.93664
3.58	5.36177
3.59	4.81522
3.6	4.30029
3.61	3.82006
3.62	3.37734
3.63	2.97465
3.64	2.61432
3.65	2.29874
3.66	2.03103
3.67	1.81628
3.68	1.66351
3.69	1.5861
3.7	1.59469
3.71	1.68534
3.72	1.84239
3.73	2.05085
3.74	2.30067
3.75	2.58534
3.76	2.90009
3.77	3.24089
3.78	3.60396
3.79	3.98558
3.8	4.38206
3.81	4.78978
3.82	5.20521
3.83	5.62495
3.84	6.04581
3.85	6.46482
3.86	6.87927
3.87	7.28671
3.88	7.68496
3.89	8.07212
3.9	8.44655
3.91	8.80687
3.92	9.15193
3.93	9.48078
3.94	9.7927
3.95	10.0871
3.96	10.3636
3.97	10.622
3.98	10.8621
3.99	11.0838
4	11.2871
