DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-10.1423
-88	-9.98765
-86	-9.55482
-84	-8.91889
-82	-8.16353
-80	-7.35652
-78	-6.5433
-76	-5.75059
-74	-4.99237
-72	-4.27486
-70	-3.5998
-68	-2.96655
-66	-2.37326
-64	-1.81759
-62	-1.297
-60	-0.809027
-58	-0.351336
-56	0.0782205
-54	0.48159
-52	0.860527
-50	1.2166
-48	1.55123
-46	1.86564
-44	2.16098
-42	2.43822
-40	2.69825
-38	2.94187
-36	3.16978
-34	3.3826
-32	3.5809
-30	3.76518
-28	3.93587
-26	4.09339
-24	4.23806
-22	4.37022
-20	4.49013
-18	4.59804
-16	4.69416
-14	4.77867
-12	4.85173
-10	4.91349
-8	4.96404
-6	5.00349
-4	5.0319
-2	5.04934
0	5.05582
2	5.05138
4	5.036
6	5.00966
8	4.97233
10	4.92396
12	4.86445
14	4.79372
16	4.71166
18	4.6181
20	4.51291
22	4.39588
24	4.2668
26	4.12542
28	3.97147
30	3.80463
32	3.62455
34	3.43084
36	3.22305
38	3.0007
40	2.76325
42	2.51007
44	2.24051
46	1.95381
48	1.64914
50	1.32559
52	0.982166
54	0.617763
56	0.231194
58	-0.178817
60	-0.613619
62	-1.0746
64	-1.56311
66	-2.0804
68	-2.6274
70	-3.20447
72	-3.81093
74	-4.44438
76	-5.09957
78	-5.76688
80	-6.43018
82	-7.06446
84	-7.63417
86	-8.0942
88	-8.39638
90	-8.5021
