DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-13.3827
-88	-13.0508
-86	-12.1857
-84	-11.0456
-82	-9.83331
-80	-8.65568
-78	-7.55536
-76	-6.54348
-74	-5.61786
-72	-4.77148
-70	-3.99615
-68	-3.28398
-66	-2.62787
-64	-2.02162
-62	-1.45994
-60	-0.938274
-58	-0.452749
-56	-4.39079e-005
-54	0.422688
-52	0.817899
-50	1.18771
-48	1.53395
-46	1.85822
-44	2.16192
-42	2.44627
-40	2.71234
-38	2.96108
-36	3.19332
-34	3.40979
-32	3.61115
-30	3.79797
-28	3.97075
-26	4.12996
-24	4.27598
-22	4.40918
-20	4.52985
-18	4.63826
-16	4.73467
-14	4.81926
-12	4.89222
-10	4.95368
-8	5.00378
-6	5.04261
-4	5.07024
-2	5.08672
0	5.09209
2	5.08636
4	5.0695
6	5.0415
8	5.00228
10	4.95178
12	4.88989
14	4.81648
16	4.7314
18	4.63448
20	4.52549
22	4.40421
24	4.27034
26	4.12358
28	3.96356
30	3.78987
32	3.60204
34	3.39956
36	3.18183
38	2.94817
40	2.69783
42	2.42995
44	2.14353
46	1.83747
48	1.51048
50	1.16111
52	0.787656
54	0.388186
56	-0.039563
58	-0.498225
60	-0.990887
62	-1.52119
64	-2.09344
66	-2.71278
68	-3.38535
70	-4.11854
72	-4.92118
74	-5.8038
76	-6.77852
78	-7.85844
80	-9.05497
82	-10.3701
84	-11.7761
86	-13.1677
88	-14.2871
90	-14.7357
