VSWR(1) (GHz) Rancangan Frequency	VSWR(1) Rancangan
1	189.221
1.01	189.333
1.02	189.401
1.03	189.425
1.04	189.407
1.05	189.345
1.06	189.24
1.07	189.093
1.08	188.904
1.09	188.674
1.1	188.402
1.11	188.09
1.12	187.738
1.13	187.346
1.14	186.915
1.15	186.446
1.16	185.939
1.17	185.395
1.18	184.815
1.19	184.2
1.2	183.55
1.21	182.866
1.22	182.148
1.23	181.399
1.24	180.617
1.25	179.805
1.26	178.963
1.27	178.093
1.28	177.194
1.29	176.267
1.3	175.315
1.31	174.337
1.32	173.334
1.33	172.307
1.34	171.258
1.35	170.187
1.36	169.095
1.37	167.983
1.38	166.851
1.39	165.702
1.4	164.534
1.41	163.35
1.42	162.151
1.43	160.936
1.44	159.707
1.45	158.466
1.46	157.211
1.47	155.945
1.48	154.668
1.49	153.381
1.5	152.085
1.51	150.78
1.52	149.468
1.53	148.148
1.54	146.822
1.55	145.49
1.56	144.153
1.57	142.811
1.58	141.466
1.59	140.117
1.6	138.766
1.61	137.413
1.62	136.058
1.63	134.702
1.64	133.346
1.65	131.99
1.66	130.635
1.67	129.28
1.68	127.928
1.69	126.577
1.7	125.228
1.71	123.882
1.72	122.54
1.73	121.201
1.74	119.865
1.75	118.535
1.76	117.208
1.77	115.887
1.78	114.57
1.79	113.259
1.8	111.954
1.81	110.655
1.82	109.362
1.83	108.076
1.84	106.796
1.85	105.523
1.86	104.257
1.87	102.998
1.88	101.747
1.89	100.503
1.9	99.2675
1.91	98.0394
1.92	96.8193
1.93	95.6073
1.94	94.4035
1.95	93.208
1.96	92.0209
1.97	90.8423
1.98	89.6723
1.99	88.5108
2	87.3581
2.01	86.214
2.02	85.0788
2.03	83.9523
2.04	82.8347
2.05	81.726
2.06	80.6261
2.07	79.5352
2.08	78.4531
2.09	77.3799
2.1	76.3157
2.11	75.2603
2.12	74.2139
2.13	73.1763
2.14	72.1475
2.15	71.1276
2.16	70.1165
2.17	69.1142
2.18	68.1206
2.19	67.1356
2.2	66.1594
2.21	65.1918
2.22	64.2327
2.23	63.2822
2.24	62.3401
2.25	61.4065
2.26	60.4812
2.27	59.5643
2.28	58.6556
2.29	57.7551
2.3	56.8628
2.31	55.9785
2.32	55.1023
2.33	54.234
2.34	53.3736
2.35	52.5211
2.36	51.6763
2.37	50.8393
2.38	50.0098
2.39	49.188
2.4	48.3736
2.41	47.5667
2.42	46.7672
2.43	45.975
2.44	45.1901
2.45	44.4123
2.46	43.6416
2.47	42.878
2.48	42.1214
2.49	41.3718
2.5	40.629
2.51	39.893
2.52	39.1638
2.53	38.4413
2.54	37.7254
2.55	37.0161
2.56	36.3133
2.57	35.617
2.58	34.9272
2.59	34.2437
2.6	33.5666
2.61	32.8957
2.62	32.2312
2.63	31.5728
2.64	30.9206
2.65	30.2746
2.66	29.6346
2.67	29.0007
2.68	28.3729
2.69	27.7511
2.7	27.1353
2.71	26.5255
2.72	25.9216
2.73	25.3237
2.74	24.7317
2.75	24.1457
2.76	23.5656
2.77	22.9914
2.78	22.4232
2.79	21.861
2.8	21.3047
2.81	20.7544
2.82	20.2102
2.83	19.6719
2.84	19.1398
2.85	18.6137
2.86	18.0939
2.87	17.5802
2.88	17.0728
2.89	16.5717
2.9	16.077
2.91	15.5887
2.92	15.107
2.93	14.6319
2.94	14.1635
2.95	13.7019
2.96	13.2473
2.97	12.7996
2.98	12.3591
2.99	11.9258
3	11.5
3.01	11.0816
3.02	10.671
3.03	10.2681
3.04	9.87328
3.05	9.48658
3.06	9.10821
3.07	8.73835
3.08	8.37718
3.09	8.02491
3.1	7.68174
3.11	7.34787
3.12	7.02354
3.13	6.70896
3.14	6.40438
3.15	6.11003
3.16	5.82617
3.17	5.55305
3.18	5.29097
3.19	5.04019
3.2	4.80102
3.21	4.57377
3.22	4.35879
3.23	4.15642
3.24	3.96704
3.25	3.79107
3.26	3.62896
3.27	3.48118
3.28	3.34824
3.29	3.2307
3.3	3.12915
3.31	3.04418
3.32	2.97639
3.33	2.92637
3.34	2.89463
3.35	2.88162
3.36	2.88768
3.37	2.91303
3.38	2.95776
3.39	3.02187
3.4	3.10524
3.41	3.20769
3.42	3.32901
3.43	3.46895
3.44	3.62728
3.45	3.80374
3.46	3.9981
3.47	4.21012
3.48	4.43958
3.49	4.68622
3.5	4.94981
3.51	5.23006
3.52	5.5267
3.53	5.83939
3.54	6.16779
3.55	6.51149
3.56	6.87008
3.57	7.24307
3.58	7.62996
3.59	8.03018
3.6	8.44314
3.61	8.86821
3.62	9.30469
3.63	9.75188
3.64	10.209
3.65	10.6753
3.66	11.15
3.67	11.6321
3.68	12.1209
3.69	12.6155
3.7	13.1149
3.71	13.6182
3.72	14.1246
3.73	14.633
3.74	15.1426
3.75	15.6524
3.76	16.1615
3.77	16.6691
3.78	17.1741
3.79	17.6758
3.8	18.1734
3.81	18.6659
3.82	19.1526
3.83	19.6328
3.84	20.1056
3.85	20.5705
3.86	21.0267
3.87	21.4737
3.88	21.9108
3.89	22.3376
3.9	22.7535
3.91	23.1581
3.92	23.5509
3.93	23.9317
3.94	24.3
3.95	24.6556
3.96	24.9981
3.97	25.3275
3.98	25.6435
3.99	25.946
4	26.2349
