DB(|PPC_TPwr(0,1)|)[*] (Deg) Rancangan Angle	DB(|PPC_TPwr(0,1)|)[*] Rancangan
-90	-15.1534
-88	-14.6702
-86	-13.4796
-84	-12.0231
-82	-10.5708
-80	-9.2251
-78	-8.00879
-76	-6.91619
-74	-5.93349
-72	-5.04613
-70	-4.241
-68	-3.50701
-66	-2.83488
-64	-2.21697
-62	-1.64691
-60	-1.11943
-58	-0.630088
-56	-0.175162
-54	0.248511
-52	0.643629
-50	1.01251
-48	1.35714
-46	1.67925
-44	1.98035
-42	2.26176
-40	2.52462
-38	2.76996
-36	2.99867
-34	3.21153
-32	3.40925
-30	3.59245
-28	3.76168
-26	3.91743
-24	4.06014
-22	4.19017
-20	4.30788
-18	4.41355
-16	4.50746
-14	4.58981
-12	4.66082
-10	4.72063
-8	4.76938
-6	4.8072
-4	4.83414
-2	4.85029
0	4.85567
2	4.85029
4	4.83414
6	4.80719
8	4.76938
10	4.72062
12	4.66081
14	4.58981
16	4.50745
18	4.41355
20	4.30787
22	4.19016
24	4.06013
26	3.91742
28	3.76167
30	3.59244
32	3.40924
34	3.21151
36	2.99865
38	2.76994
40	2.52461
42	2.26174
44	1.98033
46	1.67923
48	1.35711
50	1.01248
52	0.6436
54	0.248479
56	-0.175198
58	-0.630127
60	-1.11947
62	-1.64696
64	-2.21702
66	-2.83495
68	-3.50708
70	-4.24109
72	-5.04623
74	-5.93362
76	-6.91634
78	-8.00899
80	-9.22535
82	-10.5712
84	-12.0236
86	-13.4802
88	-14.6711
90	-15.1544
